股票代码,营业收入,营业利润,利润总额,净利润,总资产,固定资产,净资产收益率,每股净资产,每股资本公积,每股收益,年度
002863.SZ,4219243311.52,64815198.98,108428991.89,112883045.5,6449775186.3,2712412725.8,5.6055,4.1496,1.5922,0.23,2022
002328.SZ,6046979030.47,516191129.77,500210739.02,311404630.77,5801952679.83,930544656.37,10.2911,4.069,1.201,0.41,2022
300783.SZ,7293157824.12,177528186.85,200491799.35,129057352.25,4535803760.0,521514306.56,5.6096,5.8439,1.17,0.32,2022
605089.SH,798294346.2,159932430.58,159952422.9,143177605.84,1304753782.27,11290609.76,12.0098,12.1376,6.505,1.43,2022
688348.SH,1338391563.25,422950178.45,422697724.57,360533387.18,4958414981.64,52508257.34,17.9787,46.4851,39.4055,5.15,2022
002331.SZ,983459945.21,-99036672.66,-100110130.38,-103122378.47,2668658006.1,216554370.21,-5.6989,4.2851,2.5358,-0.2514,2022
920608.BJ,147660502.78,29798786.11,38103487.63,34494422.56,536630772.04,66302151.43,9.8085,7.0537,3.8913,0.74,2022
603121.SH,904503822.05,17305894.96,-3002315.66,-8419744.35,2192953971.3,555635659.21,-0.7408,3.2636,1.5927,-0.02,2022
688013.SH,232033135.77,44116685.78,46082652.18,43195123.16,543455877.75,70970348.59,8.4652,6.2646,4.9805,0.54,2022
300810.SZ,218045033.92,14728946.64,14671236.12,12674556.66,1163564904.34,63923762.71,1.2387,8.7112,5.3574,0.1074,2022
603590.SH,866725922.18,140703912.75,140316975.22,101490338.51,3424800761.83,245679443.17,3.4908,18.2869,6.2029,0.65,2022
688690.SH,705841186.56,306201396.73,307195582.98,275127578.72,1952900334.44,298652521.24,21.2587,3.8349,1.4756,0.685,2022
002312.SZ,10023486041.54,1371367755.09,1331457153.17,1064074808.95,15336863944.74,4208273349.88,13.3491,4.7963,2.978,0.59,2022
920950.BJ,181239961.39,45626780.4,47793103.04,41110193.74,289058431.4,14527210.08,24.8746,5.1237,2.6743,1.15,2022
603176.SH,2661973796.13,126084714.84,129114130.19,73896904.01,5347413618.89,87399656.67,7.2876,2.1753,0.5949,0.16,2022
688711.SH,926083797.83,78091166.72,77862935.1,78708087.33,1688986350.17,210194534.57,8.5451,7.0033,4.4321,0.5708,2022
603601.SH,1618392769.46,155031776.13,155116052.46,150979568.48,3417400525.18,971740442.55,7.2293,2.0556,0.2081,0.1483,2022
300181.SZ,1805155365.79,337218053.29,324124208.02,273006652.56,3639117963.07,869963094.57,12.0061,3.8549,1.6187,0.45,2022
300256.SZ,625711434.73,307470701.96,219879957.46,144879743.39,2697315117.06,715166491.18,12.4894,0.8812,2.9581,0.06,2022
603288.SH,25609651543.29,7352280924.22,7364206015.29,6197716943.78,34059175850.3,4206780719.87,24.8908,5.6967,0.0308,1.34,2022
603768.SH,3163217604.68,107759311.72,107382434.76,96314744.56,4200470479.72,1723464320.08,5.2258,9.2412,3.9051,0.47,2022
600978.SH,171688170.43,-1959379236.78,-2037789267.18,-2032625499.28,8623501649.93,1360675799.9,-1176.8697,0.0746,1.6361,-1.37,2022
601636.SH,13312679939.15,1420592447.49,1435182370.35,1316736329.75,24434070080.72,9975121906.99,10.1504,4.6013,0.9323,0.4927,2022
300313.SZ,76350268.21,-28240192.66,-30471846.15,-31848222.21,332145607.55,66699349.47,-33.8108,0.2692,0.5135,-0.1,2022
920152.BJ,563216176.8,36153424.93,46058123.48,42077504.74,727678365.49,111119034.43,11.814,4.1865,1.8638,0.48,2022
002971.SZ,1321607378.79,92712521.11,89236542.81,75167244.93,2939776275.44,1307438687.12,6.4037,7.5242,3.0604,0.47,2022
300447.SZ,1091658506.36,202198737.03,202138357.52,189225796.36,2719353219.12,346174805.74,10.4932,6.0064,2.5171,0.6104,2022
002304.SZ,30104896186.7,12509205260.39,12503283891.37,9377832429.08,67964247134.43,5794773069.53,20.8486,31.5032,0.6003,6.2251,2022
688047.SH,738657855.87,16834905.26,33910949.51,51752026.33,4368340781.31,325881390.64,1.9593,9.702,7.7185,0.14,2022
688125.SH,651315525.89,171055938.87,172678535.95,157113932.79,2057808530.66,57129218.52,12.1134,23.5288,18.7517,2.12,2022
300407.SZ,1913739673.6,103522994.32,101957199.49,88954309.06,2902472993.31,246046758.92,5.9192,5.0077,1.2828,0.29,2022
688102.SH,993605178.0,74498893.54,73083893.23,78014942.93,1497113659.06,540187595.19,9.8711,2.4845,0.9356,0.1992,2022
920075.BJ,487454504.24,49594377.98,44566578.51,39047655.1,589675879.76,66155338.45,12.9943,5.9618,2.1105,0.7531,2022
300488.SZ,530687685.33,125200308.21,124826466.34,111593372.61,1546582000.6,733584683.89,9.0174,7.6877,1.4042,0.67,2022
601838.SH,20241312000.0,11698169000.0,11681213000.0,10042377000.0,917650305000.0,1263271000.0,17.7299,14.6689,2.0801,2.69,2022
301103.SZ,955313555.17,71132480.56,71546363.26,33206224.8,2605409436.46,197222502.77,2.06,13.7587,10.6378,0.2242,2022
300015.SZ,16109946687.31,3534499524.23,3335055554.35,2524230840.5,26578845623.29,3519425789.98,18.0423,2.3231,0.5532,0.3649,2022
688529.SH,1566778677.81,90236096.24,90245759.95,90214425.99,4152996586.82,432192235.45,7.8572,9.371,6.7497,0.7,2022
600108.SH,3639204399.96,60583598.15,68720113.9,77351245.68,8733036459.78,906856301.76,1.9014,2.0948,0.2416,0.0397,2022
301306.SZ,304150585.39,81814417.35,81585512.16,64667157.83,1411935814.83,133033487.85,8.1399,14.5813,11.4002,0.9,2022
603199.SH,332035509.62,-12598018.39,-13587489.17,-13699375.21,1477711399.93,571857841.48,-1.0875,11.2372,3.0113,-0.12,2022
002881.SZ,2305932239.94,149815154.28,149584240.02,127835728.53,1726702270.63,24465570.08,16.9467,3.419,0.8254,0.5393,2022
605289.SH,312297796.52,-28473173.44,-22786660.92,-15107783.37,1880687801.51,335395177.61,-1.1873,11.4462,5.3309,-0.14,2022
603500.SH,606686365.48,82482662.57,82300471.2,66538970.24,1154581067.17,282379499.23,7.4465,3.711,1.4602,0.27,2022
301031.SZ,754599658.67,172332408.54,174242583.25,153802078.58,1365288887.28,254659067.74,19.7091,12.6344,7.0271,2.3206,2022
300985.SZ,165837220.1,-61592884.75,-62926068.67,-51564970.98,1612049902.89,111323768.81,-4.2474,8.8072,6.1082,-0.39,2022
300569.SZ,4182765865.8,243468987.27,254868070.5,228913251.14,11164791538.82,3587331458.87,5.8896,4.7843,1.6418,0.284,2022
000598.SZ,7629679194.08,1971975957.44,1963000237.64,1617825694.92,38338609218.82,10154263573.2,11.4592,4.9487,0.5961,0.5444,2022
002308.SZ,514534867.78,25571990.44,48224996.33,41926412.21,2338705512.34,9562894.8,2.1514,2.1777,1.5608,0.05,2022
920252.BJ,354032876.11,27843690.36,35727197.08,32272964.56,256832349.66,23245541.01,25.3181,2.5008,0.7683,0.57,2022
300758.SZ,1208552732.95,771031.19,-3539937.47,-2774483.15,3009448078.4,943605275.59,-0.1679,3.8697,1.994,-0.01,2022
300450.SZ,13932352081.34,2520401788.2,2540885000.64,2317580885.59,32906545902.14,1041035507.53,22.5093,7.1023,2.5431,1.4815,2022
300003.SZ,10609442080.61,2623138697.42,2611781606.35,2202809390.54,24484033145.01,2604619204.3,16.55,7.9397,1.7245,1.2223,2022
300103.SZ,392811367.02,-386914567.26,-389877926.3,-337794980.75,1737789287.24,295209086.2,-37.3327,2.3176,0.7898,-1.0636,2022
300597.SZ,527643086.06,23424840.14,22743398.92,22427532.12,1392779387.28,103407243.24,2.3301,3.9291,1.3982,0.09,2022
300129.SZ,3126689952.42,297915383.79,297541992.47,274887502.66,7171544724.58,762837368.22,8.0876,4.3208,1.6708,0.3253,2022
002810.SZ,1723483310.08,411483997.49,409794960.99,353798901.14,3331342690.18,802223817.1,20.6299,5.495,0.3878,1.04,2022
600864.SH,1629758397.11,-1415645329.8,-1417711888.61,-974372534.39,34273881516.85,3113920776.57,-7.7312,5.7406,3.6133,-0.47,2022
301279.SZ,653553043.06,79603181.91,79745823.03,81638584.15,1693289014.14,465032622.08,8.8216,13.1924,8.8321,0.89,2022
920077.BJ,2083679994.08,670094559.44,650376200.06,629565752.32,3543105136.92,2011076992.19,53.7987,4.6639,0.8693,1.9758,2022
603706.SH,1057097726.68,175410558.27,174986185.73,137085731.86,2661169971.7,1046422333.1,8.6572,8.3351,4.8856,0.72,2022
300572.SZ,447785075.88,-22281239.88,-21952933.52,-31405512.48,2853925859.64,212801273.8,-1.4724,9.2461,5.4961,-0.14,2022
002091.SZ,42759095877.02,3461965744.79,3478669313.97,1724494670.02,39405511012.77,3118782714.65,14.0384,8.3866,3.4339,1.07,2022
002423.SZ,4526736956.69,1010953992.4,1004169893.14,596987933.02,117298899880.56,86104787.5,3.256,7.9512,4.1507,0.2591,2022
688382.SH,,-483305475.61,-483485014.66,-483485014.66,2341609014.39,18530190.97,-33.3443,3.852,6.3845,-0.95,2022
600706.SH,890941684.56,-306416424.14,-308840783.11,-248734213.03,3650057822.7,1475297623.64,-22.901,3.7707,2.3301,-0.98,2022
688509.SH,1316428710.37,48846421.21,53045538.93,28511212.12,3970185296.43,168204657.35,1.8838,1.976,0.4558,0.037,2022
300707.SZ,823043644.0,67937536.05,67944695.18,57776507.43,1484407102.2,358441353.86,7.318,4.9508,1.5431,0.3683,2022
002603.SZ,12532841028.58,2829555210.93,2780642891.81,2361804714.55,16336112689.27,4625112737.47,23.6165,6.5435,1.4023,1.4137,2022
688426.SH,521600437.03,196132967.94,195398291.69,159258880.74,1950077684.51,102465334.08,13.6785,19.0365,14.8994,2.16,2022
300293.SZ,1263435196.0,-74532031.69,-56327048.98,-54497077.97,2155044035.0,218633401.56,-10.7704,1.7662,0.9982,-0.19,2022
002880.SZ,667931462.81,138167201.96,137317318.92,117443567.69,2575733822.26,491490687.17,6.5074,8.1164,2.5331,0.5178,2022
002849.SZ,952534628.68,73503592.57,73273683.93,59437605.63,2161506076.32,285174433.04,5.7579,7.8995,3.8311,0.44,2022
301080.SZ,474430912.42,216455477.1,214985917.8,203734588.66,2735960236.6,72944092.26,8.1005,32.0401,26.7471,1.6978,2022
603324.SH,1328476823.18,140878645.37,141499412.49,130311059.94,2599377980.12,333370077.5,9.2786,11.3911,6.5084,1.05,2022
301004.SZ,1259542220.17,311087942.06,310333484.02,271906187.46,1131857661.16,259822921.86,36.9344,8.4112,2.5788,2.72,2022
300487.SZ,1920086703.53,612064459.25,611653286.33,537511629.67,4562618498.44,751412480.94,22.3761,8.1235,2.5088,1.63,2022
300909.SZ,827608817.1,144030455.84,144190445.16,128007962.43,1907643534.33,370257391.02,9.6935,8.9976,4.6353,0.85,2022
688639.SH,1418651882.92,342044655.78,342983615.18,320029449.81,2027085797.84,762921476.31,24.0297,13.6577,5.7608,2.95,2022
601366.SH,7860175208.11,-93989489.14,-141116117.79,-172830803.47,17468684477.94,6338515216.9,-3.9746,4.6907,2.0113,-0.2,2022
603499.SH,663083667.05,3973665.91,3631506.21,13664080.43,1191998459.43,392034106.17,2.3023,2.8433,1.1813,0.07,2022
002332.SZ,4379825695.88,878597005.38,871891507.08,749403751.35,6738173286.59,1653401100.19,14.5704,5.517,1.8224,0.7576,2022
000958.SZ,5098590260.47,1937053242.47,1932069011.91,999263683.64,46189852897.35,12696974823.08,5.5481,3.4295,1.1769,0.1856,2022
301302.SZ,833241986.15,132949352.26,132807140.89,133708882.94,2580585574.48,20963506.46,8.0529,22.4221,16.1281,1.45,2022
920396.BJ,207538723.75,24174430.8,27869187.22,24704778.13,394805240.46,31025851.89,9.4892,4.5652,1.7884,0.4217,2022
600468.SH,2233014076.03,153778806.64,153841460.58,120996749.35,3785785085.2,444777209.64,6.2764,1.8084,0.2654,0.1112,2022
920564.BJ,223397017.84,47551046.24,47498930.09,43499792.4,413061655.29,7490409.28,19.1924,4.2904,1.6287,0.68,2022
603803.SH,2155798920.51,64251831.82,65610170.33,80068302.85,3473138182.47,245442008.88,4.2205,4.4949,1.7795,0.19,2022
603421.SH,3114981021.66,113408511.36,113807234.3,118680630.51,5663601090.21,1108286316.39,3.6092,5.0964,1.4958,0.18,2022
002326.SZ,6336219345.73,839571796.01,798571420.91,553928336.26,11354490240.65,3202901214.03,15.9468,3.9096,0.2384,0.63,2022
688231.SH,951596645.17,59788165.53,69814314.89,94440962.48,3168319685.43,483474237.5,5.7165,11.3446,9.6201,0.45,2022
300875.SZ,239885868.92,-7955752.58,-7923003.14,-17425570.59,1680027469.33,226236178.57,-1.2893,13.3371,9.8359,-0.17,2022
603001.SH,2754135834.59,-348343954.62,-339372598.09,-369781962.58,4265334120.12,360518534.54,-11.5674,7.3207,4.8065,-0.9608,2022
002929.SZ,8159348079.61,502314225.37,503457288.43,424130351.91,12728957138.92,400267030.92,10.3861,18.0829,7.5979,1.83,2022
600311.SH,581043314.9,-381926170.28,-381943223.83,-381943223.83,489453142.5,216252663.83,,-0.6585,0.3659,-0.5738,2022
920856.BJ,449764894.5,29144585.88,35284235.45,32438156.59,736952594.04,121337703.23,7.6153,5.5375,2.0583,0.41,2022
605599.SH,10989874651.79,616620497.61,616696851.24,460126934.09,5482604814.93,158368269.58,13.9091,4.3809,1.0692,0.59,2022
920832.BJ,577228216.28,52397242.89,51752313.67,46877946.19,1060552556.67,242594971.72,6.2657,5.5042,1.8829,0.338,2022
300889.SZ,905300246.46,33078075.43,32643177.08,36417766.75,2643513656.94,373624080.82,2.311,10.2016,6.3355,0.2334,2022
300219.SZ,3636415740.34,201319629.56,207598494.61,178604191.93,4871754558.15,1383508761.65,7.853,3.3414,1.6657,0.25,2022
300499.SZ,1904340876.39,354546866.78,351536589.75,286842954.25,2155567064.27,186851063.99,23.379,4.7431,1.2402,1.0,2022
600257.SH,1094712820.42,-56058622.82,-58205853.84,-71495117.4,2161876319.04,176119181.67,-7.8173,1.828,1.1993,-0.15,2022
300184.SZ,8039451913.29,273473180.54,273446205.78,225319317.55,5350588929.43,209957414.82,6.6042,3.0486,2.1081,0.1937,2022
300498.SZ,83708187230.99,6118049242.77,5815038379.89,5289005087.07,98084496887.78,35076817084.24,14.6609,5.9366,1.2682,0.8206,2022
300384.SZ,1059978195.14,292929004.28,293301154.83,240311157.39,3674327145.75,165649902.28,10.7814,7.2486,2.6227,0.754,2022
600625.SH,16621297.03,-2842397.44,-2859160.38,-2661068.5,83044821.07,48629934.07,-303.9661,-0.0019,1.2508,-0.0113,2022
600520.SH,444493059.8,36708040.72,36794998.91,26265828.68,838826444.96,236561010.44,6.4261,2.7192,2.5055,0.17,2022
605378.SH,1020098862.37,112188831.39,111430971.19,98665371.53,1487935898.41,192148040.45,8.4789,8.9237,5.2093,0.74,2022
688355.SH,612664506.19,34446484.23,33599210.98,37025240.48,1462547005.09,208207977.01,3.4542,8.6314,5.4643,0.3,2022
600847.SH,469528844.59,-33356409.45,-32683221.28,-32683221.28,759175716.72,207298326.11,-4.7301,4.4911,5.4783,-0.21,2022
300140.SZ,848383585.67,-153014226.46,-154843076.82,-151389989.07,2901693005.97,437695314.36,-10.8125,3.1062,3.099,-0.3543,2022
301021.SZ,319761152.14,20661207.96,20688188.34,22573646.9,1078822798.36,137119324.48,2.3027,6.5132,3.3318,0.1489,2022
300992.SZ,553655457.75,69996831.9,68620086.14,61195033.55,1337099930.07,271352576.57,8.3196,8.108,3.0758,0.67,2022
605268.SH,2202721288.07,-58190633.24,-51845231.12,-42985108.22,3768654336.28,1281209291.86,-2.5418,3.7324,1.5164,-0.1,2022
600475.SH,8839298680.9,947550407.74,1023112865.13,729176913.29,21125794359.84,3368482473.92,9.6888,8.2474,0.197,0.7825,2022
000019.SZ,8312723058.19,463901721.6,470910862.09,420594871.27,7441334674.98,2138124994.69,8.9552,4.1326,1.0929,0.3649,2022
603888.SH,1940574486.36,229207221.6,248415381.71,242165658.22,5181095423.27,211511063.24,7.5238,6.3219,2.8882,0.4666,2022
300669.SZ,404623074.61,58134542.4,58397929.47,51629571.23,974948121.25,164513186.94,6.0776,4.4715,2.322,0.2682,2022
300484.SZ,446920159.02,93442329.72,93881854.16,83667276.29,987958560.53,18277013.59,12.8096,3.2378,0.3897,0.4,2022
688580.SH,321621418.85,104456341.97,105839995.03,93825897.99,1684216383.26,100312677.66,6.1292,22.2743,15.9042,1.3739,2022
300925.SZ,3585832769.99,131225989.77,121879289.53,129554331.5,2674578785.53,23369528.53,9.4287,3.6096,1.175,0.35,2022
300470.SZ,1214683522.79,356210127.16,355287435.54,309287773.74,2780703928.51,218626199.62,13.3229,11.4642,4.1284,1.5051,2022
001299.SZ,549897584.35,101198680.94,112177470.41,94205051.2,1618936213.62,432197651.29,9.8967,6.5402,2.7091,0.63,2022
002673.SZ,5308429919.85,589771207.76,585622556.31,428060445.71,95664831602.09,169216298.29,1.5821,6.0436,3.5791,0.0958,2022
300766.SZ,525895442.02,38510531.1,33757713.42,26286896.02,2151030811.69,29813848.97,1.5598,4.2077,1.9971,0.07,2022
002591.SZ,373823358.24,-63948997.34,-64741425.44,-62403309.8,1008659123.44,175813565.52,-8.3827,2.3742,2.7177,-0.2079,2022
301069.SZ,1010484930.0,269780293.87,268422954.0,234523025.32,1668525610.49,392830772.47,17.4235,3.3686,0.9517,0.5575,2022
600216.SH,8115804648.33,504615954.72,491388420.68,539570083.23,12432616205.07,4768092777.03,5.9823,9.5945,2.0113,0.56,2022
600227.SH,2517340257.45,-365087191.86,-366874488.34,-366569077.72,4616625445.86,1802629804.33,-12.3859,1.6398,1.5263,-0.2165,2022
300474.SZ,1153934901.2,286411824.54,286067121.26,288963998.35,3948640091.47,388072615.28,9.3832,7.2457,3.179,0.64,2022
688200.SH,1070558398.13,595615031.55,598616962.48,526290389.31,3371356514.42,419432444.47,18.2738,34.4661,19.7652,5.79,2022
920357.BJ,236765409.38,60184666.44,67329468.68,58477822.26,422417623.18,34294679.4,25.4102,5.7658,3.0351,1.21,2022
002628.SZ,1338679145.35,43414538.89,27065768.38,9144540.36,7681247019.66,39718723.14,0.306,3.9647,1.1963,0.01,2022
002900.SZ,1028413617.71,40629145.32,40069605.39,30210042.44,3276788333.47,776720501.48,1.4587,6.4456,3.2939,0.1,2022
688117.SH,395716767.1,72841123.89,72363922.01,64484404.95,1108008638.28,198684010.35,8.0012,10.3342,5.1046,0.81,2022
002785.SZ,1305585751.66,-37983431.05,-38429722.94,-27173962.21,1361759285.02,72991150.58,-4.5605,2.943,0.9744,-0.1359,2022
603048.SH,518072065.62,18891633.59,18808133.15,20882808.81,1622223909.05,505095206.52,1.618,8.756,5.5046,0.14,2022
603086.SH,3125923462.62,415645520.62,412842036.32,381199039.53,3352809660.06,985910818.63,18.9925,7.0066,0.8905,1.23,2022
603088.SH,650445565.75,167084471.43,166543987.51,142717937.74,1342075581.55,140791129.6,24.1111,1.4607,0.0708,0.33,2022
002280.SZ,12568725198.74,-1032780253.91,-1150599203.96,-936250387.22,9298735938.43,458139580.87,-81.5963,0.3446,1.5195,-0.43,2022
600977.SH,2919849196.45,-276745350.24,-260215248.01,-214924982.6,17187123534.61,1499012464.0,-1.9615,5.7935,2.357,-0.115,2022
301318.SZ,604578417.04,136109015.88,136315002.77,127121104.02,1852325309.06,27383244.15,11.3788,24.3422,15.8964,2.2,2022
301169.SZ,324571273.08,-11341588.99,-11323002.62,-10576350.06,841745500.79,3638354.13,-1.5798,9.0367,5.5747,-0.15,2022
301234.SZ,547114250.29,62075095.72,73447836.84,70897002.45,844564374.07,169364723.51,14.3781,10.6384,5.8125,1.1915,2022
002946.SZ,10006499836.06,403167220.61,405906359.35,361506309.57,9490454360.61,2807005790.49,14.0203,2.7957,0.7254,0.42,2022
600839.SH,92481659367.24,1518945257.69,1447606530.37,467872369.98,85537738104.04,7589499529.92,3.469,2.9592,0.799,0.1014,2022
688202.SH,1658930295.46,370596846.43,368106285.07,338236270.93,2329580942.76,577399095.31,23.0855,18.4193,8.2138,3.89,2022
688179.SH,378104008.92,105869513.34,105673482.06,92331491.84,1476476729.3,218555791.45,10.0741,6.5328,3.6175,0.65,2022
688577.SH,630999983.15,66685291.69,66237609.66,59680318.54,1378876529.32,437736046.33,7.1127,15.9972,10.2084,1.11,2022
300806.SZ,1877193147.27,183408266.35,181434542.06,168018328.48,6672689722.17,1775264174.64,9.2151,6.6529,2.8112,0.55,2022
000723.SZ,24600015833.0,2936834251.94,2994737254.49,2209249241.04,36564653629.14,15454860398.42,16.4337,3.2239,0.3567,0.52,2022
605018.SH,1835343580.09,108712138.76,108852049.36,109511891.27,3406771790.95,662842732.55,4.7134,5.575,3.2031,0.24,2022
603198.SH,5505301557.73,2280509750.32,2249354870.4,1705126306.24,10060233666.76,1745779045.69,26.4508,8.6609,1.5767,2.13,2022
603811.SH,654972841.26,164428845.65,163840916.37,161583203.31,1719093524.95,735414489.02,15.5803,4.6533,1.0117,0.69,2022
603759.SH,1187293536.09,279127609.54,255370593.7,213404505.17,5817844694.76,795879249.74,9.3685,5.0943,1.9737,0.46,2022
300261.SZ,2000975899.68,252426576.83,244508652.41,202948039.69,4008418399.76,984574205.24,8.8974,2.4785,0.7077,0.2126,2022
300271.SZ,2221637483.31,-1050073911.32,-1062684119.09,-983847381.51,7318330810.13,214087067.92,-15.938,6.866,3.9812,-1.21,2022
300409.SZ,6862129848.4,63885890.45,55751300.16,86189433.25,11703301622.76,2651189046.01,1.7405,9.3096,6.1781,0.15,2022
603676.SH,1398543027.72,162602470.38,182355423.74,176958679.06,1664718174.54,308025156.99,15.4694,2.8049,0.7844,0.41,2022
920184.BJ,196865970.6,-98994092.29,-99278230.14,-82674401.74,652496926.27,21043544.44,-12.8209,4.36,3.4386,-0.6327,2022
300010.SZ,1013371131.34,-691757440.79,-761060358.18,-686932644.25,2382657799.71,230520033.6,,-0.748,3.3557,-0.7911,2022
000405.SZ,0.0,1906579.35,1906319.35,1906506.66,4559046.97,27462.39,14.3656,0.0138,1.1914,0.0062,2022
300402.SZ,1409189859.25,57829052.2,58833626.81,60366832.16,2135998038.09,378025802.8,9.2336,3.3359,1.11,0.2988,2022
300497.SZ,1647263426.9,-133954884.36,-142707362.06,-141471326.16,5059834182.46,1464600701.43,-5.0876,4.8749,2.5591,-0.26,2022
300469.SZ,263524360.24,-177475849.86,-179788602.58,-159423326.4,954353201.77,280450029.3,-132.756,0.4259,0.5887,-0.78,2022
002609.SZ,1375652035.86,8033497.2,14682352.5,18142645.51,3832233950.52,190708783.89,0.7731,3.6371,1.555,0.03,2022
001259.SZ,656862204.08,59808874.39,63272380.8,51515878.25,886552441.76,30650494.83,9.3427,10.0506,5.4162,0.8409,2022
920807.BJ,710410319.56,64746861.21,65488231.64,60636462.37,1278018026.49,185354356.21,7.7254,5.2304,1.6974,0.44,2022
600233.SH,53539313975.17,5102322488.68,5052981368.22,3919673606.25,39257319802.83,15102548983.27,15.909,7.7507,3.7939,1.1402,2022
300331.SZ,1715808412.37,-323614094.17,-330114315.21,-279073228.96,3243867068.07,910282186.01,-14.9959,6.6412,6.5929,-1.0748,2022
000677.SZ,990957786.1,145179496.4,145437317.84,49556639.79,1167567031.88,365892499.74,12.7057,0.4801,0.8075,0.06,2022
300988.SZ,1428548105.24,83541169.31,88559336.63,83340238.33,1412851326.07,325158149.11,9.2046,7.0523,3.681,0.63,2022
002970.SZ,1383794215.06,-170064315.82,-171755217.0,-146619152.2,2002840203.71,387600546.92,-10.2431,7.8639,4.2948,-0.85,2022
301239.SZ,1725640393.39,67537465.24,59225278.1,20568200.89,3676965643.95,392062993.41,1.364,13.8186,11.5908,0.16,2022
300619.SZ,1819085836.62,94841993.26,85627184.51,66629723.99,3219375818.66,649330129.6,8.1699,10.2986,5.5965,0.7572,2022
688036.SH,46595902507.63,3032159037.46,2993491372.47,2483798860.06,30846487250.89,822235461.25,16.6468,19.6761,7.4955,3.09,2022
301062.SZ,1122111283.1,117614484.09,117646262.61,106283390.76,1895136708.04,582928619.71,10.0256,2.7514,0.2252,0.27,2022
920021.BJ,803718343.64,17252244.77,17232871.88,20995217.47,1119637942.67,46578103.51,3.2063,2.0502,0.4349,0.07,2022
002768.SZ,13406439368.86,778233034.62,783615400.03,663105263.13,12753111398.13,2211695365.54,17.5702,15.0124,2.823,2.44,2022
002655.SZ,963125081.37,57422120.3,57172803.97,62097376.9,1198124602.82,299229860.49,9.3416,1.9273,0.2834,0.17,2022
002380.SZ,1154337297.69,-517378314.68,-519181354.04,-433689305.05,2965570404.98,556214342.62,-22.271,7.1913,5.7349,-1.81,2022
002888.SZ,226282589.36,-17002754.07,-16767562.18,-14626728.16,467232254.25,111306958.0,-3.519,2.6629,0.763,-0.11,2022
300479.SZ,379626623.69,-120059492.06,-120290055.3,-115830864.56,853566039.83,71225941.52,-16.7174,3.1939,2.6878,-0.5879,2022
002585.SZ,6061696813.17,742409755.81,740300049.99,698510649.06,12248203333.48,4594532685.41,7.307,8.4064,4.5228,0.608,2022
000966.SZ,14661915637.42,236776156.73,264210033.43,122832480.51,30834062684.52,14983952464.44,1.2901,3.4898,1.1808,0.0447,2022
300643.SZ,1069367828.36,164806191.39,164572416.97,133758454.38,1383248276.53,318820166.79,15.0148,4.1586,1.7066,0.58,2022
688021.SH,203771847.21,-18965344.2,-19098655.11,-7837334.02,1440759280.54,473207230.21,-0.8439,11.9123,8.0786,-0.1,2022
300851.SZ,292833349.83,34173972.24,33298414.94,36990114.52,1359911873.42,178982507.93,2.9992,14.225,7.6509,0.43,2022
600935.SH,6736366352.14,397216955.94,409952253.18,422116538.02,8957246921.94,6595989126.51,6.598,1.8473,0.3745,0.12,2022
603327.SH,2253863516.97,393843217.75,465215777.74,391253338.45,2434217620.71,491959525.04,22.2255,3.5936,0.4636,0.7505,2022
600285.SH,3001862213.98,517121482.02,517034528.24,465330827.06,4344382669.23,696815856.84,19.2687,4.4953,0.546,0.836,2022
300420.SZ,1457903972.89,55003181.35,51364630.12,54666401.15,3558879857.27,342437610.37,2.29,2.1627,0.7339,0.05,2022
300209.SZ,774137256.72,-311967264.16,-320415700.94,-366760967.67,813111046.29,98961843.75,-145.3996,0.1741,7.6993,-0.87,2022
600315.SH,7106312871.72,543510724.91,548883199.6,472039277.83,12269485812.97,863393441.45,6.6425,10.6787,1.5769,0.7,2022
300247.SZ,463318978.95,137164311.18,136391655.79,126309485.64,1186803628.67,185642791.82,13.8772,1.23,1.6735,0.16,2022
603519.SH,1416414418.09,655243797.46,655368211.91,564575546.62,1842555322.86,78598162.76,53.4993,4.8223,0.1695,2.12,2022
002975.SZ,1216799161.0,210636272.56,210317884.62,202017698.47,2600542752.5,315478699.51,12.2374,11.4926,5.1094,1.46,2022
920680.BJ,305818627.82,70311514.91,69804759.09,62911632.0,736003731.31,28937268.59,10.5654,9.2052,4.1724,0.94,2022
300265.SZ,2083122932.72,97725347.86,96982446.69,81713965.46,2826595575.0,417727178.57,6.0264,3.7748,0.9926,0.22,2022
300208.SZ,832104290.44,21826336.08,21670693.01,-153250210.84,4173227030.37,300942007.63,-18.6262,1.0039,0.2772,-0.2,2022
301148.SZ,756137984.73,82683188.14,80088817.13,106595193.27,2207203583.68,254413842.81,8.8392,14.852,8.7252,1.0,2022
300511.SZ,2320432033.82,-375123292.58,-380549177.38,-287226615.66,4072032071.35,2499288694.56,-16.8199,3.324,1.4989,-0.59,2022
002366.SZ,499103304.94,592611472.39,379748612.49,418340567.75,6915882961.61,1428959263.21,18.3723,2.1968,2.3592,0.48,2022
603931.SH,847599449.79,185707016.84,185937109.37,163394169.64,1553351646.74,181276102.44,12.7733,6.7162,3.0836,0.82,2022
301309.SZ,776840620.75,140286348.43,139883614.8,125355167.43,1548140429.1,171645326.49,13.9365,13.9344,8.7201,1.54,2022
603366.SH,3897484807.67,284190040.37,283800090.07,259143118.37,6491853275.59,1057468928.2,7.044,4.5816,2.3539,0.3235,2022
