股票代码,营业收入,营业利润,利润总额,净利润,总资产,固定资产,净资产收益率,每股净资产,每股资本公积,每股收益,年度
300496.SZ,5445453628.5,771232171.62,764464653.0,768772011.21,10721206544.29,463230728.34,10.7858,19.8187,12.7479,1.7745,2022
002138.SZ,4238209726.75,581486059.71,577260338.29,433052282.54,10938451368.27,4633887726.19,7.8091,6.8942,2.6242,0.54,2022
002315.SZ,1463218165.86,330546998.69,329204634.07,300399006.04,3557530606.54,463063089.67,13.8333,7.2348,3.6813,0.98,2022
001207.SZ,1835052927.41,120558783.17,120552286.6,111427522.26,1945228121.95,502115214.53,8.3817,7.3091,4.1569,0.61,2022
688100.SH,2003613647.07,457294128.8,457672362.23,400161144.22,3918222849.97,257083526.4,15.0498,5.4304,2.1832,0.8,2022
920575.BJ,1900619.35,-292828073.0,-292567453.64,-292817005.92,1383301275.21,48353957.14,-27.2463,6.9922,13.7211,-2.29,2022
301439.SZ,2289063884.33,175058799.74,180145980.46,179260984.66,1755342634.88,457522742.68,20.8255,3.2701,0.2111,0.61,2022
002616.SZ,3424223077.29,112542077.78,111698428.5,76398919.73,9823957871.72,5590793627.79,3.0902,3.183,1.1346,0.103,2022
603682.SH,881748840.98,59733285.08,115371897.41,97037443.74,5263068354.48,5347558.69,8.613,2.3784,1.2702,0.21,2022
000988.SZ,12011028845.77,1006391704.03,1009187676.27,906083645.05,16792712903.66,1758935117.05,11.5969,8.1925,2.671,0.9,2022
301378.SZ,462754987.05,92779186.82,92779784.29,87750205.37,687109160.88,,21.5271,13.0317,4.4854,2.53,2022
300033.SZ,3559137454.21,1841084867.02,1841728247.09,1691183951.95,9027537722.88,700620878.63,24.6494,13.4769,0.6636,3.15,2022
688091.SH,235957004.22,151587305.03,149561583.3,142854906.22,1354593641.07,82010745.78,11.4526,9.1681,7.3599,0.99,2022
003037.SZ,6649844062.53,218005456.34,214757976.82,155676792.44,5699282972.38,1920658619.97,8.9208,3.5605,1.1556,0.31,2022
002258.SZ,10136144223.66,2428327736.69,2366855435.26,1812482920.4,12866345708.15,4346891673.76,29.599,9.0821,1.888,2.4251,2022
920556.BJ,309891645.44,46896424.07,46920503.96,42642441.6,496988672.55,59248535.73,11.6419,3.0442,0.5684,0.34,2022
603317.SH,2690710152.71,405819152.23,403799001.87,341704673.06,4821728151.31,727027170.02,8.7343,5.2684,2.5617,0.4548,2022
600955.SH,7798113240.28,788657149.13,788287012.12,607773517.58,9931217920.38,2967054193.35,7.1956,15.7164,7.9848,1.11,2022
601996.SH,2052675537.74,44341403.17,40930629.64,45355496.27,4133829705.75,1686323367.17,1.6111,2.4524,0.6572,0.04,2022
920809.BJ,6557673149.86,918419343.15,896862681.16,811493505.61,5970423173.81,1549273916.17,45.9947,4.2427,1.3321,1.65,2022
000502.SZ,136202250.55,-38208340.45,-36502036.69,-26227644.03,306434413.26,70015026.07,-17.9321,0.7225,0.1235,-0.1419,2022
